{277, 325, 331, 110, 128, 356, 135, 370, 387, 174, 188, 467}
{18, 277, 325, 331, 128, 356, 135, 370, 387, 174, 188, 467}
{18, 277, 325, 331, 110, 356, 135, 370, 387, 174, 188, 467}
{18, 277, 325, 331, 110, 128, 356, 370, 387, 174, 188, 467}
{18, 277, 325, 331, 110, 128, 356, 135, 370, 387, 188, 467}
{18, 277, 325, 331, 110, 128, 356, 135, 370, 387, 174, 467}
{18, 325, 331, 110, 128, 356, 135, 370, 387, 174, 188, 467}
{18, 277, 331, 110, 128, 356, 135, 370, 387, 174, 188, 467}
{18, 277, 325, 110, 128, 356, 135, 370, 387, 174, 188, 467}
{18, 277, 325, 331, 110, 128, 135, 370, 387, 174, 188, 467}
{18, 277, 325, 331, 110, 128, 356, 135, 387, 174, 188, 467}
{18, 277, 325, 331, 110, 128, 356, 135, 370, 174, 188, 467}
{18, 277, 325, 331, 110, 128, 356, 135, 370, 387, 174, 188}
